# Rime user dictionary
#@/db_name	bopomo_onion.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	231
#@/user_id	cceb415b-5f81-4c04-ac57-7d03c69a9c63
a1 	阿	c=0 d=0.26358 t=231
ma2 fan2 	麻煩	c=1 d=0.99005 t=231
ma3 	碼	c=1 d=0.496585 t=231
ma3 biao3 	碼錶	c=0 d=0.0484325 t=231
ma5 	嗎	c=0 d=0.172966 t=231
mai3 	買	c=0 d=0.0927743 t=231
mai3 ge5 	買個	c=1 d=0.951229 t=231
mai3 xia4 	買下	c=0 d=0.0932394 t=231
mai3 xia4 qu4 a1 	買下去阿	c=1 d=0.937067 t=231
mai3 zhe4 ge5 gan4 ma2 	買這個幹嘛	c=1 d=0.932394 t=231
man2 kuai4 	蠻快	c=0 d=0.0965605 t=231
me5 	麼	c=0 d=0.0425283 t=231
mei2 	沒	c=0 d=0.0818731 t=231
mei2 ban4 fa3 	沒辦法	c=0 d=0.0527292 t=231
mei2 gui1 	玫瑰	c=0 d=0.128417 t=231
mei2 gui1 jin1 	玫瑰金	c=2 d=1.1004 t=231
mei2 you3 	沒有	c=0 d=0.122235 t=231
mei2 you3 ba2 	沒有拔	c=1 d=1 t=197
mi4 yu3 mi4 	密與密	c=1 d=1 t=206
ming2 tian1 	明天	c=0 d=0.261856 t=231
ming2 tian1 gen1 wo3 jiang3 shi2 jian1 	明天跟我講時間	c=1 d=0.873716 t=231
ming2 tian1 ji3 dian3 	明天幾點	c=1 d=0.839457 t=231
mo2 shi4 	模式	c=0 d=0.1 t=209
na3 lai2 	哪來	c=0 d=0.1 t=185
na3 lai2 zhe4 zhong3 dong1 xi1 	哪來這種東西	c=1 d=1 t=186
na3 li3 	哪裏	c=0 d=0.1 t=215
na4 	那	c=0 d=0.134796 t=231
na4 bian1 	那邊	c=0 d=0.175726 t=231
na4 chi1 zhe4 ge5 ba5 	那吃這個吧	c=1 d=0.83527 t=231
na4 wo3 zai4 zhao3 zhao3 hao3 le5 	那我在找找好了	c=1 d=0.519442 t=231
nan2 yong4 	難用	c=0 d=0.0447088 t=231
ni3 	你	c=0 d=0.153288 t=231
ni3 gang1 gang1 hua4 de5 ba5 	你剛剛畫的吧	c=1 d=0.694197 t=231
ni3 you3 	你有	c=0 d=0.129087 t=231
ni3 you3 mei2 you3 ba1 ma3 de5 se4 ma3 biao3 	你有沒有八碼的色碼錶	c=1 d=0.486752 t=231
ni3 you3 xiang3 chi1 shen2 me5 ma5 	你有想吃什麼嗎	c=1 d=0.810584 t=231
ni3 zi4 ji3 	你自己	c=0 d=0.0774916 t=231
ni3 zi4 ji3 de5 zi1 liao4 jia2 	你自己的資料夾	c=1 d=0.778801 t=231
ni4 	膩	c=0 d=0.0843665 t=231
nin2 hao3 	您好	c=1 d=0.913931 t=231
o1 o1 	噢噢	c=1 d=0.826959 t=231
pi2 fu1 	皮膚	c=0 d=0.056836 t=231
pian4 wo3 	騙我	c=0 d=0.0694197 t=231
pin3 zhen1 	品蓁	c=1 d=0.484325 t=231
ping2 liang2 	評量	c=0 d=0.1 t=204
qi2 ta1 ren2 	其他人	c=0 d=0.1 t=214
qi3 lai2 	起來	c=0 d=0.0421052 t=231
qu4 	去	c=0 d=0.155585 t=231
que4 ding4 	確定	c=1 d=0.869358 t=231
ran2 hou4 	然後	c=0 d=0.1 t=189
ran2 hou4 zi4 ji3 she4 ding4 	然後自己設定	c=1 d=1 t=190
rou4 	肉	c=0 d=0.0843665 t=231
rou4 duo1 duo1 ni4 	肉多多膩	c=1 d=0.847894 t=231
ru2 guo3 	如果	c=0 d=0.0913931 t=231
ru2 guo3 ming2 tian1 xia4 wu3 liu4 dian3 	如果明天下午六點	c=1 d=0.918512 t=231
sai1 dao4 	塞到	c=1 d=0.787277 t=231
se4 	色	c=0 d=0.0484325 t=231
se4 ma3 	色碼	c=4 d=2.28618 t=231
se4 ma3 biao3 	色碼表	c=2 d=1.13814 t=231
se4 ma3 zhuan3 huan4 	色碼轉換	c=1 d=0.57695 t=231
sha2 	啥	c=0 d=0.0810584 t=231
shang4 tu2 	上圖	c=0 d=0.0631284 t=231
shao1 shao1 shao1 	稍梢捎	c=1 d=1 t=207
shao3 zui3 hou1 	少嘴齁	c=1 d=0.440432 t=231
she4 ding4 	設定	c=0 d=0.1 t=189
she4 ji4 	設計	c=0 d=0.159355 t=231
she4 ji4 de5 shu1 ru4 fa3 yang4 shi4 	設計的輸入法樣式	c=1 d=0.606531 t=231
shei2 	誰	c=0 d=0.0423162 t=231
